"","VALUE","COUNT","LABEL","acres","hectare","rel_percent","RED","GREEN","BLUE","R","G","B"
"1",2,142968,"B",31795.3178513712,12867.12,35.6856167255736,0.219608,0.658824,0,"56","168","0"
"2",5,108277,"E",24080.2251622245,9744.93,27.0265480540746,0,0.290196,0.301961,"0","74","77"
"3",4,40734,"D",9059.02353923783,3666.06,10.1674354519859,1,0.972549,0.65098,"255","248","166"
"4",3,40274,"C",8956.7220017495,3624.66,10.0526168653527,0.788235,0.870588,0.670588,"201","222","171"
"5",7,22877,"UE",5087.72233287042,2058.93,5.71022784001278,1,0,0,"255","0","0"
"6",180,20108,"Agriculture",4471.91155612005,1809.72,5.01906986960602,0.87451,0.45098,1,"223","115","255"
"7",120,18417,"Urban",4095.8422085271,1657.53,4.59698676091775,0.517647,0,0.541176,"132","0","138"
"8",6,3796,"UN",844.210078925389,341.64,0.947502945346353,0.627451,0,0,"160","0","0"
"9",111,2171,"Water",482.818778015548,195.39,0.541893807783702,0,0,1,"0","0","255"
"10",1,1010,"A",224.618593180886,90.9,0.252101679346632,0.631373,0.388235,0.2,"161","99","51"
